=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:24:43
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,2
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1184
Средняя доходность %,4.08
Медианная доходность %,1.36
Win rate %,65.4
Profit factor,5.84
Sharpe,2.52
Макс просадка %,44.75
Общая доходность %,31716217576.87
CAGR %,0.00
Макс выигрыш %,182.78
Макс проигрыш %,-28.12
Ср. выигрыш %,7.53
Ср. проигрыш %,2.44
Макс серия побед,17
Макс серия потерь,5
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
99,LIFE,S2,BASE,2.97,10.10,2016-03-25,2016-03-28,2016-04-04,19.13,19.64,2.66,5,ts_extend
100,KRKOP,S2,BASE,3.60,7.03,2016-03-25,2016-03-28,2016-04-04,2.44,2.78,13.59,5,ts_extend
101,DVEC,S2,BASE,5.07,2.51,2016-04-04,2016-04-05,2016-04-12,0.66,0.70,5.41,5,ts_extend
102,MTSS,S1,BASE,2.55,1.64,2016-04-11,2016-04-12,2016-04-19,250.40,251.03,0.25,5,ts_extend
103,KMEZ,S2,BASE,4.67,4.78,2016-04-11,2016-04-12,2016-04-19,428.68,429.21,0.12,5,ts_extend
104,LNZL,S2,BASE,2.29,2.09,2016-04-18,2016-04-19,2016-04-20,9064.48,9035.52,-0.32,1,rotate_atr20
105,SARE,S2,BASE,3.70,5.11,2016-04-18,2016-04-19,2016-04-26,0.25,0.45,76.22,5,ts_extend
106,GAZP,S1,BASE,3.17,2.00,2016-04-19,2016-04-20,2016-04-27,162.21,162.19,-0.01,5,ts_extend
107,MRKU,S2,STRONG,5.52,8.30,2016-04-19,2016-04-20,2016-04-28,0.12,0.12,-0.28,6,ts_extend
108,CNTL,S2,BASE,2.17,8.76,2016-04-29,2016-05-04,2016-05-12,22.84,23.97,4.97,5,ts_extend
109,BSPB,S2,BASE,3.14,3.63,2016-05-16,2016-05-17,2016-05-24,52.98,52.42,-1.06,5,ts_extend
110,MRKU,S2,ULTRA,7.11,4.85,2016-05-16,2016-05-17,2016-05-25,0.12,0.13,8.01,6,ts_extend
111,LSRG,S2,BASE,2.02,1.71,2016-05-23,2016-05-24,2016-05-31,673.58,708.29,5.15,5,ts_extend
112,MRKP,S2,BASE,2.16,3.46,2016-05-24,2016-05-25,2016-06-01,0.08,0.08,1.06,5,ts_extend
113,WTCMP,S2,BASE,4.45,6.88,2016-05-30,2016-05-31,2016-06-15,6.52,6.42,-1.56,5,ts_extend
114,VLHZ,S2,ULTRA,9.51,1.53,2016-06-06,2016-06-07,2016-06-08,138.22,135.78,-1.76,1,rotate_atr20
115,NMTP,S2,BASE,4.43,3.12,2016-06-07,2016-06-08,2016-06-16,4.20,4.33,2.97,5,ts_extend
116,SIBN,S2,BASE,2.16,2.06,2016-06-23,2016-06-24,2016-07-01,160.21,162.94,1.71,5,max_hold
117,LSNGP,S2,STRONG,5.48,2.46,2016-07-01,2016-07-04,2016-07-12,16.03,22.60,41.00,6,ts_extend
118,BANEP,S2,BASE,2.06,2.11,2016-07-11,2016-07-12,2016-07-19,1992.18,2010.68,0.93,5,ts_extend
119,SNGSP,S1,BASE,2.50,1.77,2016-07-14,2016-07-15,2016-07-22,36.06,36.12,0.17,5,ts_extend
120,TGKBP,S2,BASE,2.97,4.20,2016-07-18,2016-07-19,2016-07-27,0.00,0.01,35.74,5,ts_extend
121,TGKN,S2,ULTRA,8.97,3.12,2016-07-18,2016-07-19,2016-07-27,0.00,0.00,126.89,6,ts_extend
122,MGNT,S1,BASE,4.01,2.62,2016-07-25,2016-07-26,2016-08-02,10491.76,10431.92,-0.57,5,ts_extend
123,KAZTP,S2,BASE,2.28,2.38,2016-07-26,2016-07-27,2016-08-03,86.14,85.26,-1.01,5,max_hold
124,ARSA,S2,STRONG,6.22,2.10,2016-07-27,2016-07-28,2016-08-05,2.62,2.58,-1.76,6,ts_extend
125,ZILL,S2,BASE,2.78,6.34,2016-08-02,2016-08-03,2016-08-10,1452.32,1589.84,9.47,5,ts_extend
126,KAZT,S2,BASE,3.57,1.49,2016-08-04,2016-08-05,2016-08-15,87.64,87.76,0.14,4,rotate_atr20
127,MRKP,S2,BASE,4.52,3.98,2016-08-09,2016-08-10,2016-08-17,0.10,0.10,0.25,5,ts_extend
128,LNZL,S2,BASE,3.72,2.70,2016-08-12,2016-08-15,2016-08-16,10286.43,10383.36,0.94,1,rotate_atr20
129,AQUA,S2,STRONG,5.48,5.24,2016-08-15,2016-08-16,2016-08-25,38.06,40.77,7.12,6,ts_extend
130,DZRD,S2,STRONG,5.15,4.97,2016-08-16,2016-08-17,2016-09-02,2003.20,1984.50,-0.93,6,ts_extend
131,HYDR,S1,BASE,2.03,2.75,2016-08-24,2016-08-25,2016-09-01,0.76,0.81,6.32,5,ts_extend
132,ABRD,S2,STRONG,5.44,1.36,2016-08-25,2016-08-26,2016-08-29,90.64,91.85,1.33,1,rotate_atr20
133,IGSTP,S2,BASE,4.10,4.54,2016-08-26,2016-08-29,2016-09-05,427.68,472.52,10.48,5,ts_extend
134,RBCM,S2,STRONG,6.43,2.93,2016-09-01,2016-09-02,2016-09-07,6.72,6.95,3.39,3,rotate_atr20
135,MAGEP,S2,STRONG,6.75,4.89,2016-09-02,2016-09-05,2016-09-13,3.14,3.31,5.61,6,ts_extend
136,UKUZ,S2,BASE,2.96,5.30,2016-09-06,2016-09-07,2016-09-14,796.27,807.23,1.38,5,ts_extend
137,NAUK,S2,BASE,3.13,7.32,2016-09-12,2016-09-13,2016-09-20,340.54,350.95,3.05,5,ts_extend
