=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:31:05
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8

=== ИТОГИ ===
Всего сделок,256
Средняя доходность %,5.70
Медианная доходность %,2.54
Win rate %,69.9
Profit factor,8.86
Sharpe,2.62
Макс просадка %,37.53
Общая доходность %,434541.46
CAGR %,0.00
Макс выигрыш %,126.89
Макс проигрыш %,-28.12
Ср. выигрыш %,9.19
Ср. проигрыш %,2.41
Макс серия побед,10
Макс серия потерь,4
Ср. удержание дней,6.0
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
146,MSRS,S2,ULTRA,7.33,3.77,2022-10-27,2022-10-28,2022-11-08,0.98,0.98,-0.12,6,ts_extend
147,STSBP,S2,ULTRA,7.61,3.51,2022-10-27,2022-10-28,2022-11-09,0.68,0.71,4.55,7,ts_extend
148,SIBN,S1,ULTRA,7.84,2.55,2022-11-16,2022-11-17,2022-11-28,460.74,461.73,0.22,7,ts_extend
149,RENI,S2,ULTRA,9.19,2.50,2022-12-06,2022-12-07,2022-12-15,55.23,59.04,6.90,6,ts_extend
150,MRKP,S2,ULTRA,8.35,1.51,2022-12-29,2022-12-30,2023-01-10,0.25,0.24,-1.60,6,ts_extend
151,NFAZ,S2,ULTRA,7.77,2.62,2023-01-09,2023-01-10,2023-01-18,249.40,283.34,13.61,6,ts_extend
152,RASP,S1,ULTRA,7.87,1.88,2023-01-17,2023-01-18,2023-01-26,242.89,240.89,-0.82,6,ts_extend
153,ZVEZ,S2,ULTRA,8.05,4.59,2023-01-25,2023-01-26,2023-02-03,4.37,4.79,9.79,6,ts_extend
154,SNGS,S1,ULTRA,8.19,1.66,2023-01-27,2023-01-30,2023-02-08,23.20,23.52,1.37,7,ts_extend
155,TRNFP,S2,ULTRA,9.00,1.53,2023-02-07,2023-02-08,2023-02-16,922.47,909.84,-1.37,6,ts_extend
156,RTGZ,S2,ULTRA,7.93,3.17,2023-02-27,2023-02-28,2023-03-09,25941.44,35491.52,36.81,6,ts_extend
157,PHOR,S1,ULTRA,8.57,2.71,2023-03-03,2023-03-06,2023-03-15,7174.46,7044.38,-1.81,6,ts_extend
158,WUSH,S2,ULTRA,8.00,3.95,2023-03-09,2023-03-10,2023-03-20,197.82,200.01,1.11,6,ts_extend
159,TRNFP,S2,ULTRA,9.00,1.58,2023-03-17,2023-03-20,2023-03-28,1074.22,1063.77,-0.97,6,ts_extend
160,SNGSP,S1,ULTRA,7.87,1.55,2023-03-27,2023-03-28,2023-04-05,31.56,34.20,8.39,6,ts_extend
